title,url,price_eur,dna_price_eur,customer_price_eur,in_stock,manufacturer,gift
"HONOR Watch 6 -älykello, Musta",https://kauppa.dna.fi/tuote/p/honor-watch-6-alykello-musta,199.0,199.0,249.0,False,Honor,No gift
"Kaiku Wave -langattomat vastamelukuulokkeet, Pähkinä",https://kauppa.dna.fi/tuote/p/kaiku-wave-langattomat-vastamelukuulokkeet-pahkina,399.0,399.0,449.0,True,Kaiku,No gift
"MSI Vector 16 HX AI A2XWHG-001NEU 16"" Core Ultra 9 275HX RTX 5070 Ti",https://kauppa.dna.fi/tuote/p/msi-vector-16-hx-ai-a2xwhg-001neu-16-core-ultra-9-275hx-rtx-5070-ti,23.99,23.99,26.99,True,MSI,No gift
"MSI Vector 16 HX AI A2XWHG-002NEU 16"" Core Ultra 7 255HX RTX 5070 Ti",https://kauppa.dna.fi/tuote/p/msi-vector-16-hx-ai-a2xwhg-002neu-16-core-ultra-7-255hx-rtx-5070-ti,21.99,21.99,23.99,True,MSI,No gift
"MSI Cyborg A15 AI B2HWGKG-228NEU 15,6"" Ryzen 7 260 RTX 5070",https://kauppa.dna.fi/tuote/p/msi-cyborg-a15-ai-b2hwgkg-228neu-15.6-ryzen-7-260-rtx-5070,14.99,14.99,17.49,True,MSI,No gift
"MSI Cyborg 15 B13WEKG-1020NEU 15,6"" Core i7 13620H RTX 5050",https://kauppa.dna.fi/tuote/p/msi-cyborg-15-b13wekg-1020neu-15.6-core-i7-13620h-rtx-5050,999.0,999.0,11.59,False,MSI,No gift
"Aqara Smart Lock U200 Kit -älylukko, Harmaa/hopea",https://kauppa.dna.fi/tuote/p/aqara-smart-lock-u200-kit-alylukko-harmaa-hopea,139.0,139.0,179.0,True,Aqara,No gift
"Acer Aspire Go 15 AG15-42P-R653 15,6"" Ryzen 7 5825U",https://kauppa.dna.fi/tuote/p/acer-aspire-go-15-ag15-42p-r653-15.6-ryzen-7-5825u,599.0,599.0,699.0,True,Acer,No gift
"Acer Aspire Go 15 AG15-32P-39CP 15,6"" Core 3 N355",https://kauppa.dna.fi/tuote/p/acer-aspire-go-15-ag15-32p-39cp-15.6-core-3-n355,399.0,399.0,499.0,False,Acer,No gift
"Acer Aspire Go 14 AG14-32P-379B 14"" Core 3 N355",https://kauppa.dna.fi/tuote/p/acer-aspire-go-14-ag14-32p-379b-14-core-3-n355,399.0,399.0,499.0,True,Acer,No gift
"realme C100 5G, 64 Gt, Sprouting Green",https://kauppa.dna.fi/tuote/p/realme-c100-5g-64-gt-sprouting-green,119.0,119.0,119.0,True,realme,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"HONOR Choice Pro langattomat vastamelukuulokkeet, Valkoinen",https://kauppa.dna.fi/tuote/p/honor-choice-pro-langattomat-vastamelukuulokkeet-valkoinen,49.0,49.0,99.0,True,Honor,No gift
"Garmin Forerunner 170 GPS-juoksuälykello, Musta",https://kauppa.dna.fi/tuote/p/garmin-forerunner-170-gps-juoksualykello-musta,269.0,269.0,314.0,True,Garmin,No gift
Navee ST3 Pro Nordic -sähköpotkulauta,https://kauppa.dna.fi/tuote/p/navee-st3-pro-nordic-sahkopotkulauta,949.0,949.0,949.0,True,Navee,Kaupan päälle jopa 549 € arvoinen sähköpotkulauta!
Navee ST3 Nordic -sähköpotkulauta,https://kauppa.dna.fi/tuote/p/navee-st3-nordic-sahkopotkulauta,729.0,729.0,729.0,True,Navee,Kaupan päälle jopa 279 € arvoinen sähköpotkulauta!
Navee V50i Pro II Nordic -sähköpotkulauta,https://kauppa.dna.fi/tuote/p/navee-v50i-pro-ii-nordic-sahkopotkulauta,369.0,369.0,549.0,True,Navee,No gift
TP-Link Tapo C665G KIT WiFi/4G -valvontakamera aurinkopaneelilla,https://kauppa.dna.fi/tuote/p/tp-link-tapo-c665g-kit-wifi-4g-valvontakamera-aurinkopaneelilla,169.0,169.0,229.0,True,TP-Link,
EZVIZ S10 Smart -sisävalvontakamera näytöllä,https://kauppa.dna.fi/tuote/p/ezviz-s10-smart-sisavalvontakamera-naytolla,119.0,119.0,159.0,True,EZVIZ,No gift
EZVIZ EB3 4G -valvontakamera aurinkopaneelilla,https://kauppa.dna.fi/tuote/p/ezviz-eb3-4g-valvontakamera-aurinkopaneelilla,149.0,149.0,149.0,True,EZVIZ,
EZVIZ EB8 Pro Ranger 4K Kit 4G -valvontakamera aurinkopaneelilla,https://kauppa.dna.fi/tuote/p/ezviz-eb8-pro-ranger-4k-kit-4g-valvontakamera-aurinkopaneelilla,299.0,299.0,299.0,True,EZVIZ,
EZVIZ CH1 -soittokello,https://kauppa.dna.fi/tuote/p/ezviz-ch1-soittokello,44.0,44.0,44.0,True,EZVIZ,No gift
EZVIZ EP8 Ultra -ovikellokamera,https://kauppa.dna.fi/tuote/p/ezviz-ep8-ultra-ovikellokamera,169.0,169.0,169.0,True,EZVIZ,No gift
EZVIZ H9c 3K Dual lens -valvontakamera,https://kauppa.dna.fi/tuote/p/ezviz-h9c-3k-dual-lens-valvontakamera,89.0,89.0,129.0,True,EZVIZ,No gift
EZVIZ T30-10E -älypistorasia,https://kauppa.dna.fi/tuote/p/ezviz-t30-10e-alypistorasia,13.0,13.0,13.0,False,EZVIZ,No gift
"Dreame L50 Ultra AE -robotti-imuri, Musta",https://kauppa.dna.fi/tuote/p/dreame-l50-ultra-ae-robotti-imuri-musta,499.0,499.0,699.0,True,Dreame,No gift
"Acer Nitro VG270U X1 27"" WQHD -pelinäyttö",https://kauppa.dna.fi/tuote/p/acer-nitro-vg270u-x1-27-wqhd-pelinaytto,129.0,129.0,199.0,True,Acer,No gift
"Acer Nitro XF240Y W3 23,8"" FHD -pelinäyttö",https://kauppa.dna.fi/tuote/p/acer-nitro-xf240y-w3-23-8-fhd-pelinaytto,99.0,99.0,159.0,True,Acer,No gift
Acer Nitro N50-660 i5-225F RTX 5060,https://kauppa.dna.fi/tuote/p/acer-nitro-n50-660-i5-225f-rtx-5060,12.99,12.99,15.49,False,Acer,No gift
"realme Buds T200 Lite -langattomat nappikuulokkeet, Harmaa",https://kauppa.dna.fi/tuote/p/realme-buds-t200-lite-langattomat-nappikuulokkeet-harmaa,19.0,19.0,24.0,True,realme,No gift
"realme Buds T500 Pro -langattomat vastamelunappikuulokkeet, Keltainen",https://kauppa.dna.fi/tuote/p/realme-buds-t500-pro-langattomat-vastamelunappikuulokkeet-keltainen,49.0,49.0,69.0,True,realme,No gift
realme Power Bank 20 000 mAh -varavirtalähde latausjohdolla,https://kauppa.dna.fi/tuote/p/realme-power-bank-20000-mah-varavirtalahde-latausjohdolla,19.0,19.0,49.0,True,realme,No gift
"realme 16 5G, Air Black",https://kauppa.dna.fi/tuote/p/realme-16-5g-air-black,349.0,349.0,349.0,True,realme,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"realme 16 Pro 5G, 256 Gt, Pebble Grey",https://kauppa.dna.fi/tuote/p/realme-16-pro-5g-256-gt-pebble-grey,399.0,399.0,399.0,True,realme,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"realme 16 Pro+ 5G, 256 Gt, Master Gold",https://kauppa.dna.fi/tuote/p/realme-16-pro+-5g-256-gt-master-gold,499.0,499.0,499.0,True,realme,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"realme C100 5G, 256 Gt, Sprouting Green",https://kauppa.dna.fi/tuote/p/realme-c100-5g-256-gt-sprouting-green,239.0,239.0,239.0,True,realme,No gift
"realme GT 8 Pro 5G, 256 Gt, Urban Blue",https://kauppa.dna.fi/tuote/p/realme-gt-8-pro-5g-256-gt-urban-blue,899.0,899.0,899.0,True,realme,Kaupan päälle jopa 89 € arvoiset kuulokkeet!
"realme GT 8 Pro 5G, 512 Gt, Urban Blue",https://kauppa.dna.fi/tuote/p/realme-gt-8-pro-5g-512-gt-urban-blue,999.0,999.0,999.0,True,realme,Kaupan päälle jopa 89 € arvoiset kuulokkeet!
"Polar Grit X2 -älykello, Musta",https://kauppa.dna.fi/tuote/p/polar-grit-x2-alykello-musta,499.0,499.0,499.0,True,Polar,No gift
"Polar H10N -sykesensori, XS-S, Musta",https://kauppa.dna.fi/tuote/p/polar-h10n-sykesensori-xs-s-musta,79.0,79.0,99.0,True,Polar,No gift
"Polar Ignite 2 -älykello, Kulta",https://kauppa.dna.fi/tuote/p/polar-ignite-2-alykello-kulta,129.0,129.0,199.0,True,Polar,No gift
"Polar Ignite 3 -älykello, Kulta",https://kauppa.dna.fi/tuote/p/polar-ignite-3-alykello-kulta,189.0,189.0,299.0,True,Polar,No gift
"Polar Loop -aktiivisuusranneke, Beige",https://kauppa.dna.fi/tuote/p/polar-loop-aktiivisuusranneke-beige,149.0,149.0,189.0,True,Polar,No gift
"Polar H10N -sykesensori, M-XXL, Musta",https://kauppa.dna.fi/tuote/p/polar-h10n-sykesensori-m-xxl-musta,79.0,79.0,99.0,False,Polar,No gift
Lenovo Idea Tab Pro Gen2,https://kauppa.dna.fi/tuote/p/lenovo-idea-tab-pro-gen2,499.0,499.0,549.0,True,Lenovo,No gift
"HONOR 600 Lite 5G, Musta",https://kauppa.dna.fi/tuote/p/honor-600-lite-5g-musta,299.0,299.0,299.0,True,Honor,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"HONOR 600 Pro 5G, Kullanvalkoinen",https://kauppa.dna.fi/tuote/p/honor-600-pro-5gkullanvalkoinen,999.0,999.0,999.0,True,HONOR,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"HONOR 600 5G, Musta",https://kauppa.dna.fi/tuote/p/honor-600-5g-musta,599.0,599.0,599.0,False,HONOR,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"Screenor MAGi -korttikotelo magneetilla, Konjakki",https://kauppa.dna.fi/tuote/p/screenor-magi-korttikotelo-magneetilla-konjakki,15.0,15.0,29.0,True,Screenor,No gift
"Grateq Tahko GaN USB-C -laturi 20 W + 1,5 m USB-C-kaapeli, Valkoinen",https://kauppa.dna.fi/tuote/p/grateq-tahko-gan-usb-c-laturi-20-w-+-15-m-usb-c-kaapeli-valkoinen,14.0,14.0,24.0,True,Grateq,No gift
"Samsung Galaxy A37 5G, 128 Gt, Awesome Charcoal",https://kauppa.dna.fi/tuote/p/samsung-galaxy-a37-5g-128-gt-awesome-charcoal,379.0,379.0,379.0,True,Samsung,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"Samsung Galaxy A37 5G, 256 Gt, Awesome Charcoal",https://kauppa.dna.fi/tuote/p/samsung-galaxy-a37-5g-256-gt-awesome-charcoal,479.0,479.0,479.0,True,Samsung,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"Samsung Galaxy A57 5G, 128 Gt, Awesome Gray",https://kauppa.dna.fi/tuote/p/samsung-galaxy-a57-5g-128-gt-awesome-gray,379.0,399.0,399.0,True,Samsung,Kaupan päälle jopa 120 € arvosta etuja!
"Samsung Galaxy A57 5G, 256 Gt, Awesome Gray",https://kauppa.dna.fi/tuote/p/samsung-galaxy-a57-5g-256-gt-awesome-gray,449.0,499.0,499.0,True,Samsung,Kaupan päälle jopa 120 € arvosta etuja!
Roborock Qrevo Edge 2 Pro -robotti-imuri,https://kauppa.dna.fi/tuote/p/roborock-qrevo-edge-2-pro-robotti-imuri,649.0,649.0,10.99,True,Roborock,No gift
HONOR Choice LiTag -paikannin,https://kauppa.dna.fi/tuote/p/honor-choice-litag-paikannin,19.0,19.0,39.0,True,Honor,No gift
"Motorola Moto G67 5G, Arctic Seal",https://kauppa.dna.fi/tuote/p/motorola-moto-g67-5g-arctic-seal,219.0,219.0,219.0,True,Motorola,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
"Apple AirPods Max 2, Keskiyö",https://kauppa.dna.fi/tuote/p/apple-airpods-max-2-keskiyo,529.0,529.0,579.0,True,Apple,No gift
"Nothing Phone (4a) Pro 5G, 128 Gt, Hopea",https://kauppa.dna.fi/tuote/p/nothing-phone-4a-pro-5g-128-gt-hopea,499.0,499.0,499.0,False,Nothing,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
Aqara Panel Hub S1 Plus -ohjauspaneeli,https://kauppa.dna.fi/tuote/p/aqara-panel-hub-s1-plus-ohjauspaneeli,469.0,469.0,469.0,True,Aqara,No gift
Aqara Climate Sensor W100 -lämpötila ja kosteusmittari,https://kauppa.dna.fi/tuote/p/aqara-climate-sensor-w100-lampotila-ja-kosteusmittari,39.0,39.0,39.0,True,Aqara,No gift
Aqara Presence Multi-Sensor FP300 -läsnäolotunnistin,https://kauppa.dna.fi/tuote/p/aqara-presence-multi-sensor-fp300-lasnaolotunnistin,49.0,49.0,49.0,True,Aqara,No gift
"ASUS TUF Gaming A16 16"" Ryzen 7 260 RTX 5060 FA608UM-RV003W",https://kauppa.dna.fi/tuote/p/asus-tuf-gaming-a16-16-ryzen-7-260-rtx-5060-fa608um-rv003w,11.99,11.99,16.49,False,ASUS,No gift
"ASUS TUF Gaming F16 16"" i5-14450HX RTX 5050",https://kauppa.dna.fi/tuote/p/asus-tuf-gaming-f16-16-i5-14450hx-rtx-5050,999.0,999.0,12.99,False,ASUS,No gift
"ASUS Vivobook 17 17,3"" Intel Core 3 100U",https://kauppa.dna.fi/tuote/p/asus-vivobook-17-17-3-intel-core-3-100u,499.0,499.0,649.0,True,ASUS,No gift
"ASUS Vivobook S16 16"" Ryzen AI 7 445",https://kauppa.dna.fi/tuote/p/asus-vivobook-s16-16-ryzen-ai-7-445,799.0,799.0,10.49,False,ASUS,No gift
"ASUS Zenbook 14 14"" Intel Core Ultra 7",https://kauppa.dna.fi/tuote/p/asus-zenbook-14-14-intel-core-ultra-7,999.0,999.0,12.99,False,ASUS,No gift
"Soundcore R50i langattomat nappikuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/soundcore-r50i-langattomat-nappikuulokkeet-musta,39.0,39.0,49.0,True,Soundcore,No gift
"Soundcore P30i vastamelunappikuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/soundcore-p30i-vastamelunappikuulokkeet-musta,49.0,49.0,69.0,True,Soundcore,No gift
"ASUS ROG Strix OLED XG27AQWMG 26,5"" QHD WOLED 280 Hz -pelinäyttö",https://kauppa.dna.fi/tuote/p/asus-rog-strix-oled-xg27aqwmg-26-5-qhd-woled-280-hz-pelinaytto,579.0,579.0,599.0,True,Asus,No gift
"Huawei Watch GT Runner 2 -älykello, Musta",https://kauppa.dna.fi/tuote/p/huawei-watch-gt-runner-2-alykello-musta,349.0,349.0,419.0,True,Huawei,No gift
Eufy eufyCam Solo E30 -valvontakamera,https://kauppa.dna.fi/tuote/p/eufy-eufycam-solo-e30-valvontakamera,79.0,79.0,199.0,True,Eufy,No gift
"Nothing Phone (4a) 5G, 128 Gt, Musta",https://kauppa.dna.fi/tuote/p/nothing-phone-4a-5g-128-gt-musta,349.0,349.0,349.0,False,Nothing,No gift
"Samsung Galaxy Buds4 Pro langattomat vastamelukuulokkeet, Valkoinen",https://kauppa.dna.fi/tuote/p/samsung-galaxy-buds4-pro-langattomat-vastamelukuulokkeet-valkoinen,199.0,199.0,249.0,True,Samsung,No gift
"Samsung Galaxy S26 Ultra 5G, 1 Tt, Black",https://kauppa.dna.fi/tuote/p/samsung-galaxy-s26-ultra-5g-1-tt-black,14.99,14.99,14.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy S26 Ultra 5G, 256 Gt, Black",https://kauppa.dna.fi/tuote/p/samsung-galaxy-s26-ultra-5g-256-gt-black,12.99,12.99,12.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy S26 Ultra 5G, 512 Gt, Black",https://kauppa.dna.fi/tuote/p/samsung-galaxy-s26-ultra-5g-512-gt-black,13.99,13.99,13.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy S26+ 5G, 256 Gt, Cobalt Violet",https://kauppa.dna.fi/tuote/p/samsung-galaxy-s26+-5g-256-gt-cobalt-violet,999.0,999.0,999.0,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy S26+ 5G, 512 Gt, Black",https://kauppa.dna.fi/tuote/p/samsung-galaxy-s26+-5g-512-gt-black,10.99,11.99,11.99,True,Samsung,Kaupan päälle jopa 399 € arvoinen tabletti!
"Samsung Galaxy Book6 Pro 14"" Intel Core U7",https://kauppa.dna.fi/tuote/p/samsung-galaxy-book6-pro-14-intel-core-u7,14.99,14.99,23.99,True,Samsung,No gift
"Samsung 49"" Odyssey OLED G9 G91SD DQHD 144 Hz kaareva pelinäyttö",https://kauppa.dna.fi/tuote/p/samsung-49-odyssey-oled-g9-g91sd-dqhd-144-hz-kaareva-pelinaytto,749.0,749.0,11.99,True,Samsung,No gift
"Samsung 27"" Odyssey G7 G70F 4K UHD 180 Hz / FHD 363 Hz -pelinäyttö",https://kauppa.dna.fi/tuote/p/samsung-27-odyssey-g7-g70f-4k-uhd-180-hz-fhd-363-hz-pelinaytto,499.0,499.0,649.0,True,Samsung,No gift
"Samsung 27"" Odyssey OLED G6 G60SF QHD 500 Hz -pelinäyttö",https://kauppa.dna.fi/tuote/p/samsung-27-odyssey-oled-g6-g60sf-qhd-500-hz-pelinaytto,749.0,749.0,999.0,True,Samsung,No gift
"Samsung 32"" Odyssey G5 G50F QHD 180 Hz -näyttö",https://kauppa.dna.fi/tuote/p/samsung-32-odyssey-g5-g50f-qhd-180-hz-naytto,199.0,199.0,299.0,False,Samsung,No gift
"Samsung 27"" Odyssey G5 G50F QHD 180 Hz -näyttö",https://kauppa.dna.fi/tuote/p/samsung-27-odyssey-g5-g50f-qhd-180-hz-naytto,159.0,159.0,249.0,False,Samsung,No gift
"HONOR Choice Earbuds X8i -langattomat kuulokkeet, Valkoinen",https://kauppa.dna.fi/tuote/p/honor-choice-earbuds-x8i-langattomat-kuulokkeet-valkoinen,24.0,24.0,34.0,True,Honor,No gift
"HONOR Watch Fit Active -älykello, Musta",https://kauppa.dna.fi/tuote/p/honor-watch-fit-active-alykello-musta,89.0,89.0,129.0,True,Honor,No gift
Eufy Omni C20 -robotti-imuri,https://kauppa.dna.fi/tuote/p/eufy-omni-c20-robotti-imuri,299.0,299.0,499.0,True,Eufy,No gift
"MyFirst Fone M1 lasten kellopuhelin, Pinkki",https://kauppa.dna.fi/tuote/p/myfirst-fone-m1-lasten-kellopuhelin-pinkki,59.0,59.0,99.0,True,MyFirst,No gift
"ZTE K2 lasten kellopuhelin, Pinkki",https://kauppa.dna.fi/tuote/p/zte-k2-lasten-kellopuhelin-pinkki,89.0,89.0,139.0,True,ZTE,No gift
"Acer Aspire All-in-One C27-2G 27"" Ryzen 7 5825U",https://kauppa.dna.fi/tuote/p/acer-aspire-all-in-one-c27-2g-27-ryzen-7-5825u,799.0,799.0,949.0,False,Acer,No gift
"Acer Aspire All-in-One C24-2G 23,8"" Ryzen 5 5500U",https://kauppa.dna.fi/tuote/p/acer-aspire-all-in-one-c24-2g-23.8-ryzen-5-5500u,649.0,649.0,749.0,True,Acer,No gift
"Acer Aspire Go 14 AG14-22P 14"" Athlon Silver 7120U",https://kauppa.dna.fi/tuote/p/acer-aspire-go-14-ag14-22p-14-athlon-silver-7120u,279.0,279.0,379.0,True,Acer,No gift
TP-Link Tapo C610 KIT -valvontakamera aurinkopaneelilla,https://kauppa.dna.fi/tuote/p/tp-link-tapo-c610-kit-valvontakamera-aurinkopaneelilla,89.0,89.0,129.0,True,TP-Link,No gift
"HONOR Magic8 Pro 5G, 512 Gt, Black",https://kauppa.dna.fi/tuote/p/honor-magic8-pro-5g-512-gt-black,10.99,10.99,10.99,True,Honor,Kaupan päälle jopa 55 € arvoinen näytönsuoja!
Lenovo IdeaCentre Mini 01IRH10R i5-210H,https://kauppa.dna.fi/tuote/p/lenovo-ideacentre-mini-01irh10r-i5-210h,649.0,649.0,799.0,True,Lenovo,No gift
"Lenovo IdeaPad Slim 3 16ARP10 16"" Ryzen 5 7535HS 8 Gt RAM",https://kauppa.dna.fi/tuote/p/lenovo-ideapad-slim-3-16arp10-16-ryzen-5-7535hs-8-gt-ram,449.0,449.0,649.0,True,Lenovo,No gift
"Huawei FreeBuds SE4 langattomat nappikuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/huawei-freebuds-se4-langattomat-nappikuulokkeet-musta,49.0,49.0,69.0,True,Huawei,No gift
"Huawei FreeBuds 7i langattomat nappikuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/huawei-freebuds-7i-langattomat-nappikuulokkeet-musta,79.0,79.0,119.0,True,Huawei,No gift
"OnePlus Pad Go 2 5G, Shadow Black",https://kauppa.dna.fi/tuote/p/oneplus-pad-go-2-5g-shadow-black,299.0,299.0,449.0,True,OnePlus,
"OnePlus Watch Lite, Hopea",https://kauppa.dna.fi/tuote/p/oneplus-watch-lite-hopea,119.0,119.0,179.0,False,OnePlus,No gift
TP-Link Tapo C545D -valvontakamera,https://kauppa.dna.fi/tuote/p/tp-link-tapo-c545d-valvontakamera,84.0,84.0,109.0,False,TP-Link,No gift
"JBL Junior Free avoimet nappikuulokkeet, Persikka",https://kauppa.dna.fi/tuote/p/jbl-junior-free-avoimet-nappikuulokkeet-persikka,39.0,39.0,79.0,True,JBL,No gift
"Soundcore Q30 -vastamelukuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/soundcore-q30-vastamelukuulokkeet-musta,59.0,59.0,99.0,True,Soundcore,No gift
"Soundcore Space A40 -vastamelunappikuulokkeet, Musta",https://kauppa.dna.fi/tuote/p/soundcore-space-a40-vastamelunappikuulokkeet-musta,59.0,59.0,109.0,True,Soundcore,No gift
EZVIZ BC1c 4K -valvontakamera,https://kauppa.dna.fi/tuote/p/ezviz-bc1c-4k-valvontakamera,159.0,159.0,159.0,True,EZVIZ,No gift
EZVIZ H8c SE 2K -valvontakamera,https://kauppa.dna.fi/tuote/p/ezviz-h8c-se-2k-valvontakamera,49.0,49.0,49.0,False,EZVIZ,No gift
EZVIZ HB90X Dual 4G -valvontakamera aurinkopaneelilla,https://kauppa.dna.fi/tuote/p/ezviz-hb90x-dual-4g-valvontakamera-aurinkopaneelilla,209.0,209.0,299.0,True,EZVIZ,
